Description;Nom;Numero;Adresse;Horaire;Telephone;Telephone_2;CP;Ville;Site_Internet;Acces;Classe;X_CC43;Y_CC43;X_WGS84;Y_WGS84
Bibliothèque de quartier;Bibliothèque de quartier - Ancely;2;2 Allée du Velay  31300 Toulouse;Ma/Me/V/S: 9h30 à 12h30 - Ma/Me/J: 14h à 19h - V/S: 14h à 17h;05 61 49 05 69;;31300;Toulouse;http://www.bibliotheque.toulouse.fr;Lignes 66/70 - Arrêt Charolais;Bibliotheque;1570821.62577383;2269905.67431246;1.39950775282037;43.6181856905879
Bibliothèque de quartier;Bibliothèque de quartier - Bonnefoy;4;4 Rue du Faubourg Bonnefoy  31500 Toulouse;Ma/Me/V/S: 10h à 12h30 - Ma/Me/J/V: 14h à 18h - Me: 14h à 19h - S: 14h à 17h;05 61 26 12 72;;31500;Toulouse;http://www.bibliotheque.toulouse.fr;Ligne 38 - Arrêt Arago / Vélo 126 - Ecole Bonnefoy;Bibliotheque;1575182.18259004;2269615.56603505;1.45358785260938;43.6163100126397
Bibliothèque de quartier;Bibliothèque de quartier - Côte-Pavée;125;125 Avenue Jean Rieux  31500 Toulouse;Ma/Me/V: 10h à 12h30 et 14h à 19h - J: 14h à 19h - S: 10h à 17h;05 61 54 72 91;;31500;Toulouse;http://www.bibliotheque.toulouse.fr;Ligne 22 - Arrêt Leygue;Bibliotheque;1576132.79981113;2267101.93717804;1.46593137371225;43.5938460040447
Bibliothèque de quartier;Bibliothèque de quartier - Croix-Daurade;122;122 Route d'Albi  31200 Toulouse;Ma/Me/V: 10h à 13h et 14h30 à 19h - J: 14h30-19h - S: 10h à 17h;05 62 15 01 70;;31200;Toulouse;http://www.bibliotheque.toulouse.fr;Métro Roseraie ou Borderouge - Ligne 19 Arrêt Colonel Remy - Lignes 44/42 arrêt Lycée Raymond Naves - Vélo 170 Bibliothèque;Bibliotheque;1576032.81497795;2271695.04755041;1.46365317641576;43.6351641915138
Médiathèque;Médiathèque d' Empalot;40;40 Avenue Jean Moulin  31400 Toulouse;Me/V: 10h à 12h30 et 14h à 19h - Ma: 10h à 19h - Je: 14h à 19h - S: 10h à 17h;05 61 25 57 46;;31400;Toulouse;http://www.bibliotheque.toulouse.fr;Métro Empalot (ligne B) - Vélo 155 (Recollets) ou 156 (Empalot);Bibliotheque;1574137.16344522;2265474.36680719;1.44159535244738;43.5788683584072
Bibliothèque de quartier;Bibliothèque de quartier - Fabre;6;6 Rue Saint Jean  31000 Toulouse;Ma/Me/V: 10h à 19h - Je: 14h à 19h - S: 10h à 17h;05 61 53 51 59 (adultes);05 62 26 79 16 (Jeunesse);31000;Toulouse;http://www.bibliotheque.toulouse.fr;Métro Esquirol (ligne A) - Carmes (ligne B) - Vélo 26 Dalbade de Gorsse;Bibliotheque;1574310.74117593;2267493.65440774;1.44328081048706;43.5970695182594
Bibliothèque de quartier;Bibliothèque de quartier - Minimes;3;3 Place du Marché Aux Cochons  31200 Toulouse;Ma/S: 10h à 17h - Me/V: 10h à 12h30 et 14h à 19h - J: 14h à 19h;05 61 47 75 69 (adultes);05 61 47 91 60 (Jeunesse);31200;Toulouse;http://www.bibliotheque.toulouse.fr;Métro Minimes Claude Nougaro (ligne B) - Vélo 71 Avenue des Minimes;Bibliotheque;1573665.96588619;2270097.62489068;1.43469595985411;43.6203954328438
Bibliothèque de quartier;Bibliothèque de quartier - Pinel;7;7 Place Marius Pinel  31500 Toulouse;Ma/Me/J: 14h30 à 18h30 - V: 13h30 à 17h - S: 10h à 17h;05 61 54 28 93;;31500;Toulouse;http://www.bibliotheque.toulouse.fr;Ligne 23 Arrêt Providence;Bibliotheque;1576266.28210112;2268046.362445;1.46737079363876;43.6023671220137
Bibliothèque de quartier;Bibliothèque jeunesse de quartier - Pont des Demoiselles;3;3 Place Pierre Mendes France  31400 Toulouse;Ma/Me/V: 9h30 à 12h30 et 14h à 18h - J: 14h à 18h - S: 9h30 à 12h30 et 13h30 à 17h;05 61 55 42 12;;31400;Toulouse;http://www.bibliotheque.toulouse.fr;Lignes 10/80/78 Arrêt Trois Fours - Vélo 98 Pont des Demoiselles;Bibliotheque;1575789.9076624;2266403.76897231;1.46184397338009;43.5875065180513
Bibliothèque de quartier;Bibliothèque de quartier - Rangueil;19;19 Rue Claude Forbin  31400 Toulouse;Ma/S: 10h à 17h - Me/Ve: 10h à 12h et 13h30 à 19h - J: 13h30 à 19h;05 61 52 31 40;;31400;Toulouse;http://www.bibliotheque.toulouse.fr;Métro Rangueil (ligne B) - bus 27 et 34 - Vélo 166 Rangueil Guyou;Bibliotheque;1575934.35275643;2264996.67277168;1.46395087507489;43.5748673230289
