NOM;NATURE;NATGEST;NUM;RUE;CP;STIADR;QUARTIER;X_CC43;Y_CC43;X_WGS84;Y_WGS84
ACCUEIL GRAND ROND;CC;CC ASS;2;rue Abel Autefage;31000;04032080002;5.3;1575219.2999;2267271.4922;1.45458179155253;43.5952211931832
AMIDONNIERS;CC;CC CCAS;29;all. de Brienne;31000;11904130029;1.2;1573280.1158;2268516.2462;1.4302823763044;43.6060994787702
AMOUROUX;MA;MA VT;2;rue de St Tropez;31500;64224560002;4.1;1576299.2277;2271094.3147;1.4670899749218;43.6298018711794
AMOUROUX;CF;CF VT;2;rue de St Tropez;31500;64224560002;4.1;1576299.2277;2271094.3147;1.4670899749218;43.6298018711794
ARNAUD BERNARD;HG;HG CAF;12;rue des Trois Piliers;31000;69824440012;1.1;1574073.4573;2268969.4507;1.44000323598408;43.6103109741746
AUX PLAISIRS DES BAMBINS;MA;MA MUT;31;rue des Martyrs de la Libération;31400;44640490031;5.1;1575363.733;2266847.8319;1.45646659888902;43.5914324381069
BEBEBIZ mini pouss';CC;CC PRIV;11;rue Paulin Talabot;31100;83927590011;6.2;1569735.7617;2263919.8005;1.38748078853214;43.5641307197867
NOUGARO;HG;HG VT;3;imp. F. Foulquier;31100;29096050003;6.3;1570923.2263;2264032.9982;1.40215000447601;43.5653536297796
BELLEGARDE Les p'tits loups;CC;CC ASS;17; rue Bellegarde;31000;07424470017;1.1;1574441.4991;2268741.999;1.44461371159422;43.6083255011907
BORDELONGUE PAPUS;MA;MA VT;274;rte de Seysses;31100;66208310274;2.3;1572228.8425;2264743.9483;1.41814277782844;43.5719740731649
BORDEROUGE les Petits Pierrots;MA;MA ASS;41;av bourgès Maunoury;31200;84392310041;3.4;1575141.6552;2271901.281;1.45256429402003;43.6368729153207
BORDEROUGE TROIS COCUS;MA;MA VT;5;rue du colonel Paul Paillole;31200;90000790005;3.4;1574597.9393;2272022.4468;1.44579949022103;43.6378729707075
BORDEROUGE TROIS-COCUS;CF;CF VT;5;rue du colonel Paul Paillole;31200;90000790005;3.4;1574597.9393;2272022.4468;1.44579949022103;43.6378729707075
