Index;Ecole;RNE;Num;Libelle;Codsti;Codpos;Tel;X_CC43;Y_CC43;X_WGS84;Y_WGS84
1;AMIDONNIERS;0312088B;0123;ALL DE BRIENNE;1190413;31000;05 61 21 68 40;1572567.1749;2268884.6177;1.42136729756799;43.6092942962886
2;RICARDIE 3;0310160F;0056;AV DE L URSS;7036843;31400;05 61 52 31 47;1574772.7076;2265691.9324;1.44941300655758;43.580932150167
3;ANNEXE E.N. 2;0310162H;0037;RUE BENEZET;0771228;31300;05 62 25 21 15;1573010.6494;2266676.7939;1.42737168843139;43.5895004267396
4;AUBRAC;0312750We;0038;AV DE FRONTON;3001610;31200;05 61 13 99 38;1573618.1976;2271133.9732;1.4338648867;43.6297136983919
5;BASTIDE Georges;0312334U;0008;RUE DU RECTEUR DOTTIN;8346726;31100;05 61 40 24 33;1570600.5137;2263460.3555;1.39829122806943;43.560144932816
6;BAYARD / MATABIAU;0310993L;0060;RUE MATABIAU;4492840;31000;05 61 62 35 11;1574711.1132;2269084.859;1.44787439860971;43.6114558631538
7;BECANNE Maurice;0311025W;0085;AV DE MURET;4848046;31300;05 61 42 92 92;1572918.3712;2265951.0199;1.42639752436257;43.582953427849
8;BERT Paul;0312402T;0004;CHE DE LIFFARD;4112006;31100;05 61 07 57 25;1568981.8946;2263437.7014;1.37826629558585;43.5596615700374
9;BILLIERES Etienne;0312272B;0056;RUE JACQUES GAMELIN;3056060;31100;05 61 40 29 81;1572485.5374;2266536.187;1.42090298846796;43.5881464124681
10;BONHOURE;0310929S;0020B;PL MARIUS PINEL;5408034;31500;05 61 80 95 00;1576145.794;2268050.4095;1.46587778259419;43.6023837491793
11;BONNEFOY;0310992K;0018;RUE DU FAUBOURG BONNEFOY;2716831;31500;05 61 48 77 28;1575240.7458;2269683.9862;1.45429765427209;43.6169354422926
12;BORDEROUGE;0312707Z;0006;RUE ANTOINE PASTRE;8452239;31200;05 61 26 27 02;1575320.9049;2272398.6723;1.45467194876781;43.6413787179723
13;BOURLIAGUET Léonce;0311961N;0073;RUE ARISTIDE MAILLOL;8358112;31100;05 61 41 00 33;1570413.5073;2265387.746;1.39552143136429;43.5774579392814
14;BUFFON;0312227C;0006;IMP DES GLIERES;8395014;31100;05 61 40 27 75;1571707.801;2263947.2573;1.41188004851523;43.5647159207354
15;CALVINHAC;0312226B;0008B;RUE JACQUES LABATUT;3724846;31000;05 61 62 88 82;1575257.9448;2267582.0129;1.45498958314366;43.5980220617288
16;CHATEAU D'ANCELY;0312111B;0004;ALL DU VIVARAIS;7308818;31300;05 61 49 25 86;1570726.2078;2269945.1345;1.39831651093015;43.6185244306232
17;CHATEAU DE L'HERS;0312598F;0008;RUE CLAUDIUS ROUGENET;8425213;31500;05 61 34 94 68;1577716.958;2267831.1611;1.48538374480355;43.6006672519655
18;CHAUBET Jean;0310928R;0112;AV CAMILLE PUJOL;5651228;31500;05 61 80 68 55;1576266.6588;2267849.9246;1.46741984218557;43.600599377665
19;COURREGE;0312176X;0165;AV ANTOINE DE ST EXUPERY;6188842;31400;05 61 20 03 05;1576923.0208;2265780.1632;1.47601286536061;43.5820803245685
20;CURIE Marie & Pierre;0312427V;0003;RUE BAPTISTE MARCET;4355200;31200;05 61 13 01 33;1574366.3919;2270112.3603;1.44336900436305;43.6206451737697
21;CUVIER;0310970L;0135;RTE D ALBI;0083241;31200;05 61 48 96 36;1576056.4971;2271858.413;1.46390959207782;43.6366382468315
22;DASTE André;0312079S;0004;AV DE LATTRE DE TASSIGNY;3945656;31400;05 61 52 30 60;1573870.7604;2265700.7468;1.43824546812592;43.5808611002531
23;DAURAT Didier;0311693X;0019;RUE JEAN GILLES;3198424;31100;05 61 40 11 38;1570962.7756;2264945.6379;1.40242465242868;43.5735735067827
24;DAURIAC Sylvain;0312411C;0041;RUE PAUL LAMBERT;3824054;31100;05 61 40 24 15;1571902.5774;2265436.9812;1.41394247802946;43.5781555162295
25;DE GOUGES Olympe;0312722Re;0012;RUE VIRGINIA WOOLF;9000113;31200;05 61 47 87 14;1574144.4429;2273841.2526;1.43976165988033;43.6541649672304
26;DOTTIN Paul;0311305A;0010;RUE DU RECTEUR DOTTIN;8346726;31100;05 61 40 25 68;1570669.6198;2263507.8092;1.3991352255805;43.5605838388397
27;DUPONT Pierre;0310161G;0101;GRANDE-RUE SAINT MICHEL;6332818;31400;05 61 52 47 05;1574500.5154;2266623.3699;1.44583010109545;43.5892691934916
28;DUPOUY Gaston;0312320D;0008;RUE DU PR GASTON DUPOUY;8410654;31100;05 61 44 81 83;1569233.693;2265801.1506;1.38081848787802;43.5809745270226
29;FABRE;0311880A;0009;RUE SAINT REMESY;6374403;31000;05 61 52 57 59;1574339.4244;2267383.4642;1.443661264436;43.5960826684072
30;FALCUCCI Clément;0312347H;0005;IMP DU BACHAGA BOUALAM;8388311;31100;05 61 40 27 92;1571520.6686;2265575.9774;1.40918235993741;43.579341389195
31;FALGUIERE;0310916C;0002;RUE D ARTAGNAN;0297654;31000;05 61 21 37 46;1573276.6312;2268651.3959;1.43020794227693;43.6073151353625
32;FAUCHER Daniel 1;0311604A;0005;CHEM ANDRE MESSAGER;4604801;31100;05 61 40 36 32;1571198.39;2264854.4384;1.40536245996402;43.5727930669776
33;FAUCHER Daniel 2;0311645V;0003;CHEM ANDRE MESSAGER;4604801;31100;05 61 40 13 44;1571267.2112;2264850.9146;1.40621512883112;43.5727731097269
34;FERRY Jules;0312110A;0109;AV DE FRONTON;3001610;31200;05 61 47 58 83;1573584.34;2271495.8774;1.43336179359189;43.6329648473728
35;FLEURANCE;0312680V;135;CHE DE TOURNEFEUILLE;6915241;31300;05 34 60 54 03;1568454.0022;2267805.1974;1.37068536559691;43.5988736052286
36;FONTAINE BAYONNE;0311015K;0014;RUE DUFAUR DE PIBRAC;2425645;31300;05 61 49 38 81;1572189.5634;2267945.4389;1.41690978506793;43.6007784764214
37;NOUGARO;0310917D;0059;RUE DU GENERAL BOURBAKI;3148820;31200;05 61 22 85 63;1573632.9396;2270115.7287;1.43428267219827;43.6205528133008
38;FOURTANIER Alexandre;0311008C;0010;RUE DU REMPART ST ETIENNE;5824046;31000;05 61 21 14 22;1574929.3641;2267952.1148;1.45083630121779;43.6012982560063
39;FRANCE Anatole;0312152W;0021;BD DE LA MEDITERRANEE;4556809;31400;05 61 25 05 08;1575780.7475;2266105.6912;1.46179814274346;43.5848225011258
40;GAIS PINSONS (Les);0311601X;0006;RUE DES GAIS PINSONS;3040022;31300;05 61 49 21 57;1571546.5567;2268325.0965;1.40885819641905;43.6040857592331
41;GALLIA Jean;0312323G;0004;CHEM JEAN FRANCOIS LESUEUR;4067248;31100;05 61 40 40 61;1571288.2049;2264421.6361;1.40657577383225;43.5689134915395
42;GODOLIN PEIRE;0311782U;0015;RUE VINCENT SCOTTO;8408124;31300;05 61 49 15 29;1572151.5128;2267657.3014;1.41650585615962;43.5981790088762
43;GRAND SELVE;0310975S;0071;ALL DE GRAND SELVE;3308834;31200;05 61 47 56 38;1575003.1021;2273256.4278;1.45053778881484;43.6490450978995
44;GUILLAUMET Henri;0312153X;0030;CHE DE BITET;0899227;31400;05 61 20 03 07;1577933.8264;2265225.71;1.48864984080071;43.5772549240006
45;HUGO Victor;0312196U;0003;IMP THEODORE RICHARD;5886403;31100;05 61 40 25 32;1570949.9782;2264136.118;1.40245681630847;43.5662862148476
46;HYON Georges;0310987E;0001;IMP DU BACHAGA BOUALAM;8388311;31100;05 61 40 23 51;1571615.1903;2265572.6244;1.41035322378188;43.5793273182966
47;JACQUIER Maurice;0312324H;0007;RUE DU POITOU;5462433;31100;05 61 40 31 08;1572231.0083;2265150.1884;1.41807489036917;43.5756303192648
48;JAURES Jean;0312294A;0021;AV FRIZAC;2992030;31400;05 61 52 83 06;1574948.9508;2266592.8611;1.45138917253204;43.589069168884
49;JOLIMONT;0312173U;0014;AV HENRI GUILLAUMET;3372803;31500;05 61 48 76 06;1576324.4046;2269320.7492;1.46780270320502;43.6138452462417
50;JULIEN Jules;0312273C;0011;AV DES ECOLES JULES JULIEN;2518456;31400;05 61 52 45 88;1575110.9595;2264917.9207;1.45377673223889;43.5740226515482
51;JUNCASSE (La);0312156A;0133;RUE LOUIS PLANA;5433652;31500;05 61 48 72 82;1576644.7862;2269717.7199;1.47168152326038;43.6174702188698
52;LAGRANGE Léo;0310960A;0039;ALL HENRI SELLIER;6572839;31400;05 61 52 21 13;1573760.1968;2265304.7449;1.43696798488859;43.5772788420114
53;LAKANAL;0312292Y;0017;PL DE LA DAURADE;2169647;31000;05 61 21 43 39;1573970.8002;2268055.8604;1.43894207826723;43.6020721879268
54;LALANDE;0310921H;0239;AV DE FRONTON;3001610;31200;05 61 47 51 43;1573578.4698;2273191.5728;1.43289710760594;43.6482236278767
55;LAPUJADE;0311089R;0026;RTE D ALBI;0083241;31200;05 61 48 60 87;1575776.6238;2270973.6102;1.46064267653215;43.628629619153
56;LARDENNE;0312293Z;0020;CHE DE ROCAMADOUR;5958452;31100;05 61 49 26 79;1569033.3082;2266668.0201;1.3781306890498;43.5887408625964
57;LESPINASSE;0311021S;0003;RUE DU CHAIREDON;1596855;31300;05 61 42 86 31;1573632.8479;2267573.7263;1.43486825418599;43.5976767433458
58;LESSEPS Ferdinand de;0312143L;0031;CHE DES PRADETTES;5561651;31100;05 61 40 57 83;1569585.7195;2265575.5119;1.38522999029901;43.579004939059
59;LEYGUE Armand;0311010E;0020;RUE LUCIEN CASSAGNE;1484833;31500;05 61 80 03 36;1575940.7577;2267438.7572;1.46347721648111;43.5968455707999
60;LITTRE;0312155Z;0002;PL BERTIER;0825627;31300;05 61 49 23 53;1569029.5205;2268824.4352;1.37756812296567;43.6081460974082
