Index;Ecole;RNE;Num;Libelle;Codsti;Codpos;Tel;X_CC43;Y_CC43;X_WGS84;Y_WGS84
1;AMIDONNIERS;0310243W;0125;ALL DE BRIENNE;1190413;31000;05 61 21 98 33;1572498.829;2268909.1079;1.42051512742439;43.6095031262865
2;ANNEXE E.N.;0310192R;0037;RUE BENEZET;0771228;31300;05 62 25 21 17;1573010.6494;2266676.7939;1.42737168843139;43.5895004267396
3;AUBRAC;0312750Wm;0038;AV DE FRONTON;3001610;31200;05 61 13 99 38;1573618.1976;2271133.9732;1.4338648867;43.6297136983919
4;AURIACOMBE;0311661M;0012;AV WINSTON CHURCHILL;8344053;31100;05 61 40 11 39;1570896.2623;2264478.8254;1.4017113100426;43.5693611431509
5;CLAUDEL Camille;0311548P;0001;PL MARTIN LUTHER KING;8427437;31100;05 61 40 23 44;1570600.1917;2264015.6081;1.39815620979204;43.5651417627316
6;BASTIDE Georges 1;0311301W;0007;RUE DU RECTEUR DOTTIN;8346726;31100;05 61 40 25 90;1570619.1435;2263518.5493;1.39850804206151;43.5606718334208
7;BEARNAIS (LE);0312232H;0003;PL INTER. ROLAND GARROS;8397238;31200;05 61 23 09 55;1572970.454;2269339.2404;1.42625644330393;43.6134536348487
8;BECANNE Maurice;0312004K;0003;IMP BOUTINON;1136014;31300;05 61 42 98 81;1572914.2412;2265830.4876;1.42637434985757;43.5818680257744
9;BERT Paul;0310242V;0004;CHE DE LIFFARD;4112006;31100;05 61 07 59 10;1568981.8946;2263437.7014;1.37826629558585;43.5596615700374
10;BILLIERES Etienne;0310208H;0257;RUE HENRI DESBALS;2259224;31100;05 61 42 85 37;1572353.0386;2266652.1434;1.41923553737469;43.5891675070834
11;BONNEFOY;0310225B;0008;RUE DU FAUBOURG BONNEFOY;2716831;31500;05 61 48 62 29;1575198.9047;2269635.1668;1.45379051292455;43.6164891748677
12;BORDEROUGE NORD;0312708A;0004;RUE ANTOINE PASTRE;8452239;31200;05 61 26 12 25;1575341.7964;2272374.7561;1.45493628007337;43.6411669506679
13;BOURLIAGUET Léonce;0311960M;0073;RUE ARISTIDE MAILLOL;8358112;31100;05 61 41 00 85;1570413.5073;2265387.746;1.39552143136429;43.5774579392814
14;BUFFON;0310205E;0008;IMP DES GLIERES;8395014;31100;05 61 40 26 56;1571752.2951;2263923.9494;1.41243615843945;43.5645137345198
16;CALAS;0310214P;0047;RUE ACHILLE VIADIEU;7212834;31400;05 61 52 08 86;1574368.7362;2266387.5637;1.4442526091445;43.5871251461465
