NOM;EQ_GESTIONNAIRE;NUMERO;LIB_OFF;ID_SECTEUR_POSTAL;EQ_VILLE;EQ_BIBLIOTHEQUE;EQ_MUSEE;EQ_CINEMA;EQ_GALERIE_LIEU_EXPOSITION;EQ_CONF_RECEPTION;EQ_NTA;EQ_ENSEIGNEMENT;EQ_SALLE_DE_SPECTACLE;EQ_CENTRE_CULTUREL;EQ_CA_MJC_MQ;EQ_CAFE_CONCERT;EQ_STUDIO_DANS_MUSIQUE;EQ_SECTEUR;EQ_QUARTIER;X_CC43;Y_CC43;X_WGS84;Y_WGS84
ANNEXE DU CRR BARRIERE DE PARIS - ZAC LA VACHE;Mairie de Toulouse - DGA Culture;0004;RUE MARGUERITE DURAS;31200;TOULOUSE;No;No;No;No;No;No;Yes;No;No;No;No;No;3 - Toulouse Nord;3.1 - Minimes - Barrière de Paris;1573840.0003;2271642.9999;1.4364954677097;43.6343316912144
ANNEXE DU CRR COTE PAVEE - COURREGE;Mairie de Toulouse - DGA Culture;0252B;AV JEAN RIEUX;31500;TOULOUSE;No;No;No;No;No;No;Yes;No;No;No;No;No;5 - Toulouse Sud-Est;5.1 - Pont des Demoiselles / Montaudran / La Terrasse;1577055.9998;2266006;1.47760843248021;43.5841344192461
ANNEXE DU CRR CROIX DAURADE - JEAN BOYER;Mairie de Toulouse - DGA Culture;0001B;RUE FRANCIS LOPEZ;31200;TOULOUSE;No;No;No;No;No;No;Yes;Yes;No;No;No;No;3 - Toulouse Nord;3.4 - Trois Cocus - Borderouge - Croix Daurade - Paleficat;1576038.0003;2271805.0002;1.46369250794347;43.6361545304873
ANNEXE DU CRR LA FOURGUETTE;Mairie de Toulouse - DGA Culture;0006;PL DES GLIERES;31100;TOULOUSE;No;No;No;No;No;No;Yes;No;No;No;No;No;6 - Toulouse Ouest;6.5 - Lafourguette;1571609.9998;2263942.0003;1.41067089419845;43.5646519646267
ANNEXE DU CRR RANGUEIL - JULES JULIEN;Mairie de Toulouse - DGA Culture;0009;AV DES ECOLES JULES JULIEN;31400;TOULOUSE;No;No;No;No;No;No;Yes;No;No;No;No;No;5 - Toulouse Sud-Est;5.2 - Rangueil - Sauzelong - Pech David - Pouvourville;1575170.9999;2264971.0003;1.45450782291341;43.5745102785538
ANNEXE DU CRR SAINT-SIMON;Mairie de Toulouse - DGA Culture;0007;RUE DARBOUSSIER;31100;TOULOUSE;No;No;No;No;No;No;Yes;No;No;No;No;No;6 - Toulouse Ouest;6.4 - Saint Simon;1568923.9997;2263463.9997;1.3775435684557;43.5598881742572
ANNEXE DU MUSEE SAINT RAYMOND;Mairie de Toulouse - DGA Culture;0011;RUE DES TROIS RENARDS;31000;TOULOUSE;No;No;No;No;No;No;No;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574140;2268669.9998;1.44089622588695;43.6076272621805
ARCHIVES MUNICIPALES TOULOUSE;Mairie de Toulouse - DGA Culture;0002;RUE DES ARCHIVES;31500;TOULOUSE;No;Yes;No;Yes;No;No;No;No;No;No;No;No;4 - Toulouse Est;4.1 - Bonnefoy - Roseraie - Gramont;1575828.0003;2270440.9998;1.46140004775055;43.6238450104102
ATELIER B;Mairie de Toulouse - DGA Culture;0003;PL ANDRE ABBAL;31100;TOULOUSE;No;No;No;Yes;No;No;No;No;No;Yes;No;No;6 - Toulouse Ouest;6.3 - Mirail - Reynerie - Bellefontaine;1570991.0003;2264595.0002;1.40285653269416;43.5704228499648
BBB - CENTRE REGIONAL D'INITIATIVES POUR L'ART CONTEMPORAIN;Association;0096;RUE MICHEL ANGE;31200;TOULOUSE;No;No;No;Yes;No;No;No;No;No;No;No;No;3 - Toulouse Nord;3.4 - Trois Cocus - Borderouge - Croix Daurade - Paleficat;1574715.9999;2270797.0002;1.4475430031917;43.626864610407
